Size    Hash (SHA-256)                                                    Name       Description
337353  1e2bc242cd831aa3b13926c7fdc2bb30d04a1362ab8ae482d79cdb58506da3bd  MAIN.EXE   Syndicate Beta Demo (ENG)
358345  165403dd3301103c5d578520fba72b646c3e616562a84afd2205b4dc57843ca3  MAIN.EXE   Syndicate Demo (ENG)
391737  e707b9f22c8f7fbac5621ac71ce6dad4da7905061e038db909b0a0bf8bdbcb16  MAIN.EXE   Syndicate American Revolt Demo (ENG,FRE,ITA)
473145  33f90f361543c5742cb47bc22468d8b374a185753ca3cbe433f93b616e5ff9e4  GMAIN.EXE  Syndicate (GER)
477755  75245340f274d56b032c664ee12b42b57f6145735f0e7a0a0bd45e7ebe804752  MAIN.EXE   Syndicate Beta (ENG)
489529  448a05eec6753ec62b09818e0e8dacdf1910c6b22cd0384c05b946a3dd7d3366  MAIN.EXE   Syndicate (ENG,FRE,ITA)
499257  a6d1037a2e0a108fe0159490c6d55ea1d6acc8395370ee306c17b4ec2792ac25  SMAIN.EXE  Syndicate Plus (SPA)
518713  bfbed760ab2def1fbe9f73588dc5a24747826c9b7660d615b02a8847d92bf078  MAIN.EXE   Syndicate Plus (ENG,FRE,ITA)
532025  b966e9e6c4ec4751e5e0ca2caabb62b2356471bf47a1eb605ab968bb339055f3  MAIN.EXE   Syndicate American Revolt (ENG,FRE,ITA)
536633  563764643b5c6e07370336fb731ac2fb7ffb963c13a722f2fd5bc002a97f4a28  SMAIN.EXE  Syndicate Plus American Revolt (SPA)
553529  9da4689e395ea4714830020187b18d6fb2a013a020fedfc7198d8494921d300a  MAIN.EXE   Syndicate Plus American Revolt (ENG,FRE,ITA)
